text,label
This is a serious  legitimate movie ,7
And the nudity is really important to the story ,7
Thats what you say about porn ,7
Youre right Maybe I shouldnt even go on the call back ,7
No No you should A lot of major actors do nude scenes I mean  the chance to star in a movie Come on ,1
Hey What did you decide to do about the movie ,7
I dont know ,7
Its not like its porn ,7
This is a serious  legitimate movie ,7
And the nudity is really important to the story ,7
Thats what you say about porn ,7
Youre right Maybe I shouldnt even go on the call back ,7
No No you should A lot of major actors do nude scenes I mean  the chance to star in a movie Come on ,1
Well thats true ,7
And I am only naked in one scene ,7
Plus it sounds really great ,7
My characters catholic and he falls in love with this Jewish girl ,7
Who run away together and they get caught in this big rainstorm ,7
So we go into this barn and undress each other and hold each other ,7
Its really sweet and-and tender ,1
Hey  whats up ,7
Nothing  Monica and I had a stupid fight ,0
But youre still moving in together  right Because my ad came out today ,7
"""Wanted Female roommate  non-smoker  non-ugly"" Nice" ,1
So where are we going next ,7
This witness won't return my calls so we're gonna see if we can surprise him coming home ,7
Sur-surprise him We're not  we're not gonna make anybody mad are we ,4
Come on man  Listen so uh  are you gonna squeeze the perps shoes a little bit before he lawyers up ,1
It's a witness not a perp And no one talks like that ,3
So where are we going next ,7
This witness won't return my calls so we're gonna see if we can surprise him coming home ,7
Sur-surprise him We're not  we're not gonna make anybody mad are we ,4
Come on man  Listen so uh  are you gonna squeeze the perps shoes a little bit before he lawyers up ,1
It's a witness not a perp And no one talks like that ,3
Yeah  no one talks like that ,3
So where are we going next ,7
This witness won't return my calls so we're gonna see if we can surprise him coming home ,7
Sur-surprise him We're not  we're not gonna make anybody mad are we ,4
Come on man  Listen so uh  are you gonna squeeze the perps shoes a little bit before he lawyers up ,1
It's a witness not a perp And no one talks like that ,3
Yeah  no one talks like that ,3
Oh what Like your Mr Cop ,3
So where are we going next ,7
This witness won't return my calls so we're gonna see if we can surprise him coming home ,7
Sur-surprise him We're not  we're not gonna make anybody mad are we ,4
Come on man  Listen so uh  are you gonna squeeze the perps shoes a little bit before he lawyers up ,1
It's a witness not a perp And no one talks like that ,3
Yeah  no one talks like that ,3
Oh what Like your Mr Cop ,3
Hey  I'm more cop than you two ,3
How do you figure that ,7
So where are we going next ,7
This witness won't return my calls so we're gonna see if we can surprise him coming home ,7
Sur-surprise him We're not  we're not gonna make anybody mad are we ,4
Come on man  Listen so uh  are you gonna squeeze the perps shoes a little bit before he lawyers up ,1
It's a witness not a perp And no one talks like that ,3
Yeah  no one talks like that ,3
Oh what Like your Mr Cop ,3
Hey  I'm more cop than you two ,3
How do you figure that ,7
Hello I'm in the front seat  okay I'm Gary's partner ,7
I guess so ,7
Here you go Thank you ,7
Wait  Rach Where's the other one ,7
Oh what  you-you want both of them ,5
I guess so ,7
Here you go Thank you ,7
Wait  Rach Where's the other one ,7
Oh what  you-you want both of them ,5
Rachel Karen Green  where's the other earring ,3
I guess so ,7
Here you go Thank you ,7
Wait  Rach Where's the other one ,7
Oh what  you-you want both of them ,5
Rachel Karen Green  where's the other earring ,3
Okay  okay  okay  look  just don't freak out  but I kinda lost it ,4
I guess so ,7
Here you go Thank you ,7
Wait  Rach Where's the other one ,7
Oh what  you-you want both of them ,5
Rachel Karen Green  where's the other earring ,3
Okay  okay  okay  look  just don't freak out  but I kinda lost it ,4
I know it's in the apartment  but I ,7
I guess so ,7
Here you go Thank you ,7
Wait  Rach Where's the other one ,7
Oh what  you-you want both of them ,5
Rachel Karen Green  where's the other earring ,3
Okay  okay  okay  look  just don't freak out  but I kinda lost it ,4
I know it's in the apartment  but I ,7
Well  what am I going to tell Monica She wants to wear them tonight ,4
I guess so ,7
Here you go Thank you ,7
Wait  Rach Where's the other one ,7
Oh what  you-you want both of them ,5
Rachel Karen Green  where's the other earring ,3
Okay  okay  okay  look  just don't freak out  but I kinda lost it ,4
I know it's in the apartment  but I ,7
Well  what am I going to tell Monica She wants to wear them tonight ,4
Tell her to wear her own earrings ,3
I guess so ,7
Here you go Thank you ,7
Wait  Rach Where's the other one ,7
Oh what  you-you want both of them ,5
Rachel Karen Green  where's the other earring ,3
Okay  okay  okay  look  just don't freak out  but I kinda lost it ,4
I know it's in the apartment  but I ,7
Well  what am I going to tell Monica She wants to wear them tonight ,4
Tell her to wear her own earrings ,3
These ,7
Uh Phoebe  can I see you for a second ,7
Yeah ,7
Whats going on ,7
Chandlers gone again ,5
Uh Phoebe  can I see you for a second ,7
Yeah ,7
Whats going on ,7
Chandlers gone again ,5
Oh my God Why would you play hide and seek with someone you know is a flight risk ,0
Okay You ready to push again ,7
I already had a baby Leave me alone ,3
Okay  okay  come on  you can do it You can do it ,1
Yeah ,1
Little Leslie is here ,1
We got another one ,5
Okay You ready to push again ,7
I already had a baby Leave me alone ,3
Okay  okay  come on  you can do it You can do it ,1
Yeah ,1
Little Leslie is here ,1
We got another one ,5
Oh my God  I can't believe I have two-two children ,5
How scary is that ,5
Come on little Chandler  it's time to be born Come on little Chandler Come on ,1
Okay You ready to push again ,7
I already had a baby Leave me alone ,3
Okay  okay  come on  you can do it You can do it ,1
Yeah ,1
Little Leslie is here ,1
We got another one ,5
Oh my God  I can't believe I have two-two children ,5
How scary is that ,5
Come on little Chandler  it's time to be born Come on little Chandler Come on ,1
All right  he's coming He's coming ,1
Okay You ready to push again ,7
I already had a baby Leave me alone ,3
Okay  okay  come on  you can do it You can do it ,1
Yeah ,1
Little Leslie is here ,1
We got another one ,5
Oh my God  I can't believe I have two-two children ,5
How scary is that ,5
Come on little Chandler  it's time to be born Come on little Chandler Come on ,1
All right  he's coming He's coming ,1
Hey  where's his thing ,5
Okay You ready to push again ,7
I already had a baby Leave me alone ,3
Okay  okay  come on  you can do it You can do it ,1
Yeah ,1
Little Leslie is here ,1
We got another one ,5
Oh my God  I can't believe I have two-two children ,5
How scary is that ,5
Come on little Chandler  it's time to be born Come on little Chandler Come on ,1
All right  he's coming He's coming ,1
Hey  where's his thing ,5
Chandler's a girl ,5
Oh God  kindergarten flashback ,5
They musta read the sonogram wrong ,5
Cause they  'cause they thought it was a boy  but Chandler's a girl ,5
Chandler's a girl ,5
Okay  keep saying it ,1
Okay You ready to push again ,7
I already had a baby Leave me alone ,3
Okay  okay  come on  you can do it You can do it ,1
Yeah ,1
Little Leslie is here ,1
We got another one ,5
Oh my God  I can't believe I have two-two children ,5
How scary is that ,5
Come on little Chandler  it's time to be born Come on little Chandler Come on ,1
All right  he's coming He's coming ,1
Hey  where's his thing ,5
Chandler's a girl ,5
Oh God  kindergarten flashback ,5
They musta read the sonogram wrong ,5
Cause they  'cause they thought it was a boy  but Chandler's a girl ,5
Chandler's a girl ,5
Okay  keep saying it ,1
Am I too late ,7
No-no ah  everything's okay Everybody's healthy there's 30 fingers and 30 toes ,1
Okay You ready to push again ,7
I already had a baby Leave me alone ,3
Okay  okay  come on  you can do it You can do it ,1
Yeah ,1
Little Leslie is here ,1
We got another one ,5
Oh my God  I can't believe I have two-two children ,5
How scary is that ,5
Come on little Chandler  it's time to be born Come on little Chandler Come on ,1
All right  he's coming He's coming ,1
Hey  where's his thing ,5
Chandler's a girl ,5
Oh God  kindergarten flashback ,5
They musta read the sonogram wrong ,5
Cause they  'cause they thought it was a boy  but Chandler's a girl ,5
Chandler's a girl ,5
Okay  keep saying it ,1
Am I too late ,7
No-no ah  everything's okay Everybody's healthy there's 30 fingers and 30 toes ,1
We have our babies ,5
Okay You ready to push again ,7
I already had a baby Leave me alone ,3
Okay  okay  come on  you can do it You can do it ,1
Yeah ,1
Little Leslie is here ,1
We got another one ,5
Oh my God  I can't believe I have two-two children ,5
How scary is that ,5
Come on little Chandler  it's time to be born Come on little Chandler Come on ,1
All right  he's coming He's coming ,1
Hey  where's his thing ,5
Chandler's a girl ,5
Oh God  kindergarten flashback ,5
They musta read the sonogram wrong ,5
Cause they  'cause they thought it was a boy  but Chandler's a girl ,5
Chandler's a girl ,5
Okay  keep saying it ,1
Am I too late ,7
No-no ah  everything's okay Everybody's healthy there's 30 fingers and 30 toes ,1
We have our babies ,5
Yeah ,1
Oh  we have our babies ,1
Hey Toby ,1
Hey Bobby ,7
Its Bob actually Hey  you work up here  can you tell me where this Chandler ,7
Hey Toby ,1
Hey Bobby ,7
Its Bob actually Hey  you work up here  can you tell me where this Chandler ,7
Uhh yeah Yeah  its  right  right down there  Right there  yeah Can I ask you why ,7
I want to talk to that bastard  see what his problem is ,3
Hey Toby ,1
Hey Bobby ,7
Its Bob actually Hey  you work up here  can you tell me where this Chandler ,7
Uhh yeah Yeah  its  right  right down there  Right there  yeah Can I ask you why ,7
I want to talk to that bastard  see what his problem is ,3
Okay Bob listen uhh  Im the reason you didnt get the job up here ,0
Hey Toby ,1
Hey Bobby ,7
Its Bob actually Hey  you work up here  can you tell me where this Chandler ,7
Uhh yeah Yeah  its  right  right down there  Right there  yeah Can I ask you why ,7
I want to talk to that bastard  see what his problem is ,3
Okay Bob listen uhh  Im the reason you didnt get the job up here ,0
Toby dont ,0
Hey Toby ,1
Hey Bobby ,7
Its Bob actually Hey  you work up here  can you tell me where this Chandler ,7
Uhh yeah Yeah  its  right  right down there  Right there  yeah Can I ask you why ,7
I want to talk to that bastard  see what his problem is ,3
Okay Bob listen uhh  Im the reason you didnt get the job up here ,0
Toby dont ,0
Bob ,0
Toby Im not gonna let you cover for him Anything you say right now will just get me more upset with Chandler ,3
Thank you  Oh Joey and look at this crib Its so cute ,1
I know I found it on the street ,1
Are you seriousReally Its in such good condition ,5
Thank you  Oh Joey and look at this crib Its so cute ,1
I know I found it on the street ,1
Are you seriousReally Its in such good condition ,5
Yeah ,7
Thank you  Oh Joey and look at this crib Its so cute ,1
I know I found it on the street ,1
Are you seriousReally Its in such good condition ,5
Yeah ,7
Wow Whoa-whoa whats under the covers ,5
I dont know ,7
Its moving ,4
Thank you  Oh Joey and look at this crib Its so cute ,1
I know I found it on the street ,1
Are you seriousReally Its in such good condition ,5
Yeah ,7
Wow Whoa-whoa whats under the covers ,5
I dont know ,7
Its moving ,4
Ew ,6
Thank you  Oh Joey and look at this crib Its so cute ,1
I know I found it on the street ,1
Are you seriousReally Its in such good condition ,5
Yeah ,7
Wow Whoa-whoa whats under the covers ,5
I dont know ,7
Its moving ,4
Ew ,6
Its stillIts got a tail Get it out of here Get it out of here ,4
Ooh Ah Okay ,4
Well  I went over to Kyles last night to pick up a few things and we got to reminiscing ,7
we talked through most of the night and we realized that the reason we were so angry at each other was because there are still feelings there So ,0
Oh just say it Kyle ,5
Were gonna give it another try ,1
Well  I went over to Kyles last night to pick up a few things and we got to reminiscing ,7
we talked through most of the night and we realized that the reason we were so angry at each other was because there are still feelings there So ,0
Oh just say it Kyle ,5
Were gonna give it another try ,1
What about her whining and her constant need for attention ,3
Im gonna work on that ,7
Oh right  because youre so capable of change ,3
Yknow  he hums when he pees ,3
Well  I went over to Kyles last night to pick up a few things and we got to reminiscing ,7
we talked through most of the night and we realized that the reason we were so angry at each other was because there are still feelings there So ,0
Oh just say it Kyle ,5
Were gonna give it another try ,1
What about her whining and her constant need for attention ,3
Im gonna work on that ,7
Oh right  because youre so capable of change ,3
Yknow  he hums when he pees ,3
I do know ,7
It makes him miss the bowl  but whatever ,6
Well  I went over to Kyles last night to pick up a few things and we got to reminiscing ,7
we talked through most of the night and we realized that the reason we were so angry at each other was because there are still feelings there So ,0
Oh just say it Kyle ,5
Were gonna give it another try ,1
What about her whining and her constant need for attention ,3
Im gonna work on that ,7
Oh right  because youre so capable of change ,3
Yknow  he hums when he pees ,3
I do know ,7
It makes him miss the bowl  but whatever ,6
Were so sorry ,0
Well  I went over to Kyles last night to pick up a few things and we got to reminiscing ,7
we talked through most of the night and we realized that the reason we were so angry at each other was because there are still feelings there So ,0
Oh just say it Kyle ,5
Were gonna give it another try ,1
What about her whining and her constant need for attention ,3
Im gonna work on that ,7
Oh right  because youre so capable of change ,3
Yknow  he hums when he pees ,3
I do know ,7
It makes him miss the bowl  but whatever ,6
Were so sorry ,0
Thats all right  we-we dont need you In fact  hey Im over it already ,3
Well  I went over to Kyles last night to pick up a few things and we got to reminiscing ,7
we talked through most of the night and we realized that the reason we were so angry at each other was because there are still feelings there So ,0
Oh just say it Kyle ,5
Were gonna give it another try ,1
What about her whining and her constant need for attention ,3
Im gonna work on that ,7
Oh right  because youre so capable of change ,3
Yknow  he hums when he pees ,3
I do know ,7
It makes him miss the bowl  but whatever ,6
Were so sorry ,0
Thats all right  we-we dont need you In fact  hey Im over it already ,3
Yeah  and yknow what I dont give a tiny rats ass ,3
Yeah  were gonna go ,7
Well  I went over to Kyles last night to pick up a few things and we got to reminiscing ,7
we talked through most of the night and we realized that the reason we were so angry at each other was because there are still feelings there So ,0
Oh just say it Kyle ,5
Were gonna give it another try ,1
What about her whining and her constant need for attention ,3
Im gonna work on that ,7
Oh right  because youre so capable of change ,3
Yknow  he hums when he pees ,3
I do know ,7
It makes him miss the bowl  but whatever ,6
Were so sorry ,0
Thats all right  we-we dont need you In fact  hey Im over it already ,3
Yeah  and yknow what I dont give a tiny rats ass ,3
Yeah  were gonna go ,7
Im sorry Ugh  Pheebs  you were  you were right about her Yknow  she ,0
Well  I went over to Kyles last night to pick up a few things and we got to reminiscing ,7
we talked through most of the night and we realized that the reason we were so angry at each other was because there are still feelings there So ,0
Oh just say it Kyle ,5
Were gonna give it another try ,1
What about her whining and her constant need for attention ,3
Im gonna work on that ,7
Oh right  because youre so capable of change ,3
Yknow  he hums when he pees ,3
I do know ,7
It makes him miss the bowl  but whatever ,6
Were so sorry ,0
Thats all right  we-we dont need you In fact  hey Im over it already ,3
Yeah  and yknow what I dont give a tiny rats ass ,3
Yeah  were gonna go ,7
Im sorry Ugh  Pheebs  you were  you were right about her Yknow  she ,0
Oh Yknow  he hums while he does other stuff to ,7
Well  I went over to Kyles last night to pick up a few things and we got to reminiscing ,7
we talked through most of the night and we realized that the reason we were so angry at each other was because there are still feelings there So ,0
Oh just say it Kyle ,5
Were gonna give it another try ,1
What about her whining and her constant need for attention ,3
Im gonna work on that ,7
Oh right  because youre so capable of change ,3
Yknow  he hums when he pees ,3
I do know ,7
It makes him miss the bowl  but whatever ,6
Were so sorry ,0
Thats all right  we-we dont need you In fact  hey Im over it already ,3
Yeah  and yknow what I dont give a tiny rats ass ,3
Yeah  were gonna go ,7
Im sorry Ugh  Pheebs  you were  you were right about her Yknow  she ,0
Oh Yknow  he hums while he does other stuff to ,7
Yeah  we're better off without them ,3
Well  I went over to Kyles last night to pick up a few things and we got to reminiscing ,7
we talked through most of the night and we realized that the reason we were so angry at each other was because there are still feelings there So ,0
Oh just say it Kyle ,5
Were gonna give it another try ,1
What about her whining and her constant need for attention ,3
Im gonna work on that ,7
Oh right  because youre so capable of change ,3
Yknow  he hums when he pees ,3
I do know ,7
It makes him miss the bowl  but whatever ,6
Were so sorry ,0
Thats all right  we-we dont need you In fact  hey Im over it already ,3
Yeah  and yknow what I dont give a tiny rats ass ,3
Yeah  were gonna go ,7
Im sorry Ugh  Pheebs  you were  you were right about her Yknow  she ,0
Oh Yknow  he hums while he does other stuff to ,7
Yeah  we're better off without them ,3
And yknow  even if they break up again  youd better not let him in your sad mens club ,3
Well  I went over to Kyles last night to pick up a few things and we got to reminiscing ,7
we talked through most of the night and we realized that the reason we were so angry at each other was because there are still feelings there So ,0
Oh just say it Kyle ,5
Were gonna give it another try ,1
What about her whining and her constant need for attention ,3
Im gonna work on that ,7
Oh right  because youre so capable of change ,3
Yknow  he hums when he pees ,3
I do know ,7
It makes him miss the bowl  but whatever ,6
Were so sorry ,0
Thats all right  we-we dont need you In fact  hey Im over it already ,3
Yeah  and yknow what I dont give a tiny rats ass ,3
Yeah  were gonna go ,7
Im sorry Ugh  Pheebs  you were  you were right about her Yknow  she ,0
Oh Yknow  he hums while he does other stuff to ,7
Yeah  we're better off without them ,3
And yknow  even if they break up again  youd better not let him in your sad mens club ,3
Divorced mens club ,0
Phoebe ,7
Yeah ,7
Have you seen Chandler ,7
No Why ,7
The woman from the museum called and said that there was a cancellation and that we could move up our wedding and Chandler heard ,4
Phoebe ,7
Yeah ,7
Have you seen Chandler ,7
No Why ,7
The woman from the museum called and said that there was a cancellation and that we could move up our wedding and Chandler heard ,4
I know ,4
How bad is this ,4
Well for the regular guy  its bad  but Chandler  Oh dear God ,4
Phoebe ,7
Yeah ,7
Have you seen Chandler ,7
No Why ,7
The woman from the museum called and said that there was a cancellation and that we could move up our wedding and Chandler heard ,4
I know ,4
How bad is this ,4
Well for the regular guy  its bad  but Chandler  Oh dear God ,4
I know I know And he totally freaked out and I cant find him anywhere ,4
What are you gonna do ,7
Phoebe ,7
Yeah ,7
Have you seen Chandler ,7
No Why ,7
The woman from the museum called and said that there was a cancellation and that we could move up our wedding and Chandler heard ,4
I know ,4
How bad is this ,4
Well for the regular guy  its bad  but Chandler  Oh dear God ,4
I know I know And he totally freaked out and I cant find him anywhere ,4
What are you gonna do ,7
Well  Im never gonna listen to you again  thats for sure ,3
Phoebe ,7
Yeah ,7
Have you seen Chandler ,7
No Why ,7
The woman from the museum called and said that there was a cancellation and that we could move up our wedding and Chandler heard ,4
I know ,4
How bad is this ,4
Well for the regular guy  its bad  but Chandler  Oh dear God ,4
I know I know And he totally freaked out and I cant find him anywhere ,4
What are you gonna do ,7
Well  Im never gonna listen to you again  thats for sure ,3
"""Yknow  harm can it do if you go and put your name down""" ,7
Phoebe ,7
Yeah ,7
Have you seen Chandler ,7
No Why ,7
The woman from the museum called and said that there was a cancellation and that we could move up our wedding and Chandler heard ,4
I know ,4
How bad is this ,4
Well for the regular guy  its bad  but Chandler  Oh dear God ,4
I know I know And he totally freaked out and I cant find him anywhere ,4
What are you gonna do ,7
Well  Im never gonna listen to you again  thats for sure ,3
"""Yknow  harm can it do if you go and put your name down""" ,7
Rachel said that ,5
Phoebe ,7
Yeah ,7
Have you seen Chandler ,7
No Why ,7
The woman from the museum called and said that there was a cancellation and that we could move up our wedding and Chandler heard ,4
I know ,4
How bad is this ,4
Well for the regular guy  its bad  but Chandler  Oh dear God ,4
I know I know And he totally freaked out and I cant find him anywhere ,4
What are you gonna do ,7
Well  Im never gonna listen to you again  thats for sure ,3
"""Yknow  harm can it do if you go and put your name down""" ,7
Rachel said that ,5
Well Rachels not here ,3
Come on  come on ,7
Damnit  damnit  damnit  damnit ,3
Come on  come on ,7
Damnit  damnit  damnit  damnit ,3
This is all your fault ,3
This is supposed to be  like  the greatest day of my life  y'know ,3
My son is being born  and I should be in there  you know  instead of stuck in a closet with you ,3
The woman I love is having a baby today I've been waiting for this just as much as you have ,3
No no no  believe me ,3
No one has been waiting for this as much as I have  ok ,3
And you know what the funny thing is ,7
Come on  come on ,7
Damnit  damnit  damnit  damnit ,3
This is all your fault ,3
This is supposed to be  like  the greatest day of my life  y'know ,3
My son is being born  and I should be in there  you know  instead of stuck in a closet with you ,3
The woman I love is having a baby today I've been waiting for this just as much as you have ,3
No no no  believe me ,3
No one has been waiting for this as much as I have  ok ,3
And you know what the funny thing is ,7
When this day is over  you get to go home with the baby  ok ,3
Come on  come on ,7
Damnit  damnit  damnit  damnit ,3
This is all your fault ,3
This is supposed to be  like  the greatest day of my life  y'know ,3
My son is being born  and I should be in there  you know  instead of stuck in a closet with you ,3
The woman I love is having a baby today I've been waiting for this just as much as you have ,3
No no no  believe me ,3
No one has been waiting for this as much as I have  ok ,3
And you know what the funny thing is ,7
When this day is over  you get to go home with the baby  ok ,3
Where does that leave me ,0
Come on  come on ,7
Damnit  damnit  damnit  damnit ,3
This is all your fault ,3
This is supposed to be  like  the greatest day of my life  y'know ,3
My son is being born  and I should be in there  you know  instead of stuck in a closet with you ,3
